unit,year,precip_mm,temp_c
天祝,2023,309.3999938964844,1.183333396911621
肃南,2005,285.3999938964844,-1.9333337545394897
肃南,2006,260.1999816894531,-1.149999976158142
肃南,2007,383.0,-1.225000023841858
肃南,2008,276.3999938964844,-1.8583331108093262
肃南,2009,296.20001220703125,-1.2666667699813843
肃南,2010,300.0000305175781,-1.7666667699813843
肃南,2011,239.80001831054688,-1.975000262260437
肃南,2012,314.70001220703125,-2.383333444595337
肃南,2013,281.3999938964844,-1.024999976158142
肃南,2014,266.89996337890625,-1.649999976158142
肃南,2015,250.00001525878906,-1.350000023841858
肃南,2016,314.89996337890625,-1.3999996185302734
肃南,2017,322.9000244140625,-1.058333396911621
肃南,2018,365.4000244140625,-1.9250000715255737
肃南,2019,328.4000244140625,-1.4916667938232422
肃南,2020,212.5,-1.6166666746139526
肃南,2021,274.6000061035156,-1.399999737739563
肃南,2022,236.10000610351562,-1.2666667699813843
肃南,2023,178.39999389648438,-1.0166665315628052
肃北,2005,159.49998474121094,2.8416669368743896
肃北,2006,158.89999389648438,3.5833332538604736
肃北,2007,240.40000915527344,3.616666793823242
肃北,2008,137.10000610351562,2.9166667461395264
肃北,2009,154.39999389648438,3.4833333492279053
肃北,2010,186.1999969482422,3.075000047683716
肃北,2011,131.20001220703125,2.7166669368743896
肃北,2012,201.70001220703125,2.299999475479126
肃北,2013,177.00001525878906,3.6583335399627686
肃北,2014,173.6999969482422,3.2916669845581055
肃北,2015,141.00001525878906,3.700000524520874
肃北,2016,191.1000213623047,3.566666603088379
肃北,2017,178.59999084472656,4.083333492279053
肃北,2018,196.6000213623047,2.799999952316284
肃北,2019,248.10000610351562,3.4833335876464844
肃北,2020,79.0,3.491666555404663
肃北,2021,121.50000762939453,3.8416664600372314
肃北,2022,77.5,3.741666555404663
肃北,2023,99.80000305175781,4.150000095367432
阿克塞,2005,77.5,1.4583336114883423
阿克塞,2006,80.90000915527344,2.1583335399627686
阿克塞,2007,100.89998626708984,1.725000023841858
阿克塞,2008,61.30000305175781,1.0333333015441895
阿克塞,2009,60.80000686645508,1.783333420753479
阿克塞,2010,101.5,1.9999998807907104
阿克塞,2011,71.80000305175781,1.7833328247070312
阿克塞,2012,109.19999694824219,0.9999997615814209
阿克塞,2013,82.80000305175781,1.7583335638046265
阿克塞,2014,112.40000915527344,0.7500000596046448
阿克塞,2015,78.29999542236328,1.2083334922790527
阿克塞,2016,56.10000228881836,1.5749998092651367
阿克塞,2017,71.0,1.558333396911621
阿克塞,2018,98.89998626708984,0.8416664600372314
阿克塞,2019,149.99998474121094,1.125000238418579
阿克塞,2020,29.899999618530273,0.933333158493042
阿克塞,2021,44.599998474121094,1.2583330869674683
阿克塞,2022,27.600000381469727,1.4916664361953735
阿克塞,2023,72.4000015258789,1.5833333730697632
民乐,2005,349.5,-1.1416666507720947
民乐,2006,316.4000244140625,-0.49166664481163025
民乐,2007,435.10003662109375,-0.8916668891906738
民乐,2008,339.0,-1.466666579246521
民乐,2009,351.4000244140625,-0.7583330273628235
民乐,2010,350.4000244140625,-0.6749997138977051
民乐,2011,308.1999816894531,-0.7999998927116394
民乐,2012,379.70001220703125,-1.6083334684371948
民乐,2013,298.70001220703125,-0.8583332896232605
民乐,2014,335.0,-1.2833331823349
民乐,2015,311.4999694824219,-1.1166666746139526
民乐,2016,343.2000427246094,-0.6499999165534973
民乐,2017,377.79998779296875,-0.7583333849906921
民乐,2018,418.4999694824219,-1.083333134651184
民乐,2019,400.3999938964844,-1.2083333730697632
民乐,2020,279.3999938964844,-1.1749998331069946
民乐,2021,342.1000061035156,-0.9583333134651184
民乐,2022,325.0000305175781,-0.7583335041999817
民乐,2023,236.90000915527344,-0.7916668057441711
山丹,2005,170.59999084472656,4.549999713897705
山丹,2006,166.0,5.2583327293396
山丹,2007,233.79998779296875,4.883333683013916
山丹,2008,182.0,4.308333396911621
山丹,2009,175.90000915527344,5.016667366027832
山丹,2010,185.50001525878906,5.075000286102295
山丹,2011,167.29998779296875,4.925000190734863
山丹,2012,186.39999389648438,4.049999713897705
山丹,2013,159.5,4.891666889190674
山丹,2014,181.80001831054688,4.441666126251221
山丹,2015,167.40000915527344,4.599999904632568
山丹,2016,193.39999389648438,5.058332920074463
山丹,2017,191.29998779296875,4.9583330154418945
山丹,2018,225.5,4.65000057220459
山丹,2019,219.19998168945312,4.508334159851074
山丹,2020,142.59999084472656,4.558333873748779
山丹,2021,170.00001525878906,4.766666889190674
山丹,2022,176.5,4.958332538604736
山丹,2023,116.79999542236328,4.9583330154418945
门源,2005,543.2000122070312,-0.6083328127861023
门源,2006,480.1000061035156,0.008333365432918072
门源,2007,625.2000732421875,-0.4166666567325592
门源,2008,520.4000244140625,-1.041666865348816
门源,2009,493.0,-0.23333311080932617
门源,2010,502.1000061035156,-0.1749998778104782
门源,2011,507.1999816894531,-0.4083334505558014
门源,2012,568.0000610351562,-1.0500001907348633
门源,2013,433.9999694824219,-0.24999992549419403
门源,2014,548.0000610351562,-0.51666659116745
门源,2015,483.20001220703125,-0.5166667103767395
门源,2016,477.10003662109375,-0.13333351910114288
门源,2017,590.9000244140625,0.008333285339176655
门源,2018,677.4999389648438,-0.4249999225139618
门源,2019,633.6000366210938,-0.5249997973442078
门源,2020,455.800048828125,-0.45833349227905273
门源,2021,540.2999877929688,-0.3500001132488251
门源,2022,568.699951171875,-0.2666665017604828
门源,2023,383.0,-0.24166655540466309
祁连,2005,378.8000183105469,-2.700000047683716
祁连,2006,341.3999938964844,-2.0500001907348633
祁连,2007,469.20001220703125,-2.450000286102295
祁连,2008,362.79998779296875,-3.0166664123535156
祁连,2009,390.8999938964844,-2.308333396911621
祁连,2010,382.6000061035156,-2.2249999046325684
祁连,2011,326.6000061035156,-2.3583335876464844
祁连,2012,416.6999816894531,-3.1583335399627686
祁连,2013,325.9000244140625,-2.4166669845581055
祁连,2014,353.0999755859375,-2.875000238418579
祁连,2015,332.5,-2.691666841506958
祁连,2016,372.6999816894531,-2.2333333492279053
祁连,2017,405.3999938964844,-2.3416669368743896
祁连,2018,442.79998779296875,-2.6750001907348633
祁连,2019,421.29998779296875,-2.7750003337860107
祁连,2020,298.79998779296875,-2.758333444595337
祁连,2021,367.8999938964844,-2.5250003337860107
祁连,2022,332.6999816894531,-2.3500001430511475
祁连,2023,260.5,-2.366666793823242
刚察,2005,473.4000244140625,-0.07499989122152328
刚察,2006,389.0999755859375,0.5916668772697449
刚察,2007,522.4000244140625,0.23333334922790527
刚察,2008,443.79998779296875,-0.3500000238418579
刚察,2009,479.4000244140625,0.30833348631858826
刚察,2010,435.1000671386719,0.46666669845581055
刚察,2011,404.1000061035156,0.2749997675418854
刚察,2012,510.70001220703125,-0.5750001668930054
刚察,2013,353.2000732421875,0.25
刚察,2014,437.6999816894531,-0.06666675955057144
刚察,2015,402.29998779296875,0.0666666030883789
刚察,2016,421.5,0.5333333015441895
刚察,2017,502.1999816894531,0.450000137090683
刚察,2018,561.1000366210938,0.12499960511922836
刚察,2019,523.7000122070312,-0.008333365432918072
刚察,2020,367.3000183105469,0.025000015273690224
刚察,2021,475.8999938964844,0.258333683013916
刚察,2022,402.5,0.4250001907348633
刚察,2023,341.9000244140625,0.3833330571651459
德令哈,2005,187.90000915527344,4.099999904632568
德令哈,2006,182.89999389648438,4.6166672706604
德令哈,2007,218.40000915527344,4.2083330154418945
德令哈,2008,182.9000244140625,3.5999996662139893
德令哈,2009,221.40000915527344,4.433333873748779
德令哈,2010,240.8000030517578,4.500000476837158
德令哈,2011,148.89999389648438,4.258333683013916
德令哈,2012,233.30001831054688,3.7083332538604736
德令哈,2013,126.5,4.325000286102295
德令哈,2014,179.10000610351562,3.6583335399627686
德令哈,2015,190.49998474121094,3.991666555404663
德令哈,2016,186.6000213623047,4.3666672706604
德令哈,2017,223.80001831054688,4.358333110809326
德令哈,2018,239.10000610351562,3.8333332538604736
德令哈,2019,231.5,3.9833333492279053
德令哈,2020,130.60000610351562,3.941666841506958
德令哈,2021,218.30001831054688,4.2166666984558105
德令哈,2022,154.6999969482422,4.308333396911621
德令哈,2023,150.89999389648438,4.441666603088379
天峻,2005,379.8000183105469,-0.8500000834465027
天峻,2006,316.60003662109375,-0.2583332061767578
天峻,2007,426.9999694824219,-0.6750001311302185
天峻,2008,339.6999816894531,-1.3083335161209106
天峻,2009,409.8999938964844,-0.5666666030883789
天峻,2010,371.8999938964844,-0.3499998152256012
天峻,2011,308.70001220703125,-0.6333332657814026
天峻,2012,417.6000061035156,-1.3333334922790527
天峻,2013,290.5,-0.6166664958000183
天峻,2014,337.6999816894531,-0.5666666030883789
天峻,2015,321.70001220703125,-0.44999992847442627
天峻,2016,345.79998779296875,-0.11666655540466309
天峻,2017,407.5000305175781,0.008333444595336914
天峻,2018,442.79998779296875,-0.550000011920929
天峻,2019,416.9999694824219,-0.4416666030883789
天峻,2020,283.3000183105469,-0.3833330571651459
天峻,2021,389.0000305175781,-0.16666674613952637
天峻,2022,291.6000061035156,-0.16666650772094727
天峻,2023,274.8999938964844,1.5894572413799324e-07
